"Term_id"	"Group"	"QC"
"106"	"GO:0000447"	"gene regulation"	"0.912585242633086"
"107"	"GO:0000448"	"gene regulation"	"0.881110468085982"
"108"	"GO:0000451"	"metabolic process"	"0.387345795790589"
"109"	"GO:0000454"	"metabolic process"	"0.507865963305542"
"110"	"GO:0000455"	"metabolic process"	"0.575852549119569"
"111"	"GO:0000460"	"metabolic process"	"+"
"112"	"GO:0000461"	"gene regulation"	"0.914630917341859"
"113"	"GO:0000462"	"gene regulation"	"0.867039315847505"
"114"	"GO:0000463"	"gene regulation"	"+"
"115"	"GO:0000466"	"gene regulation"	"+"
"116"	"GO:0000467"	"gene regulation"	"0.841053332382831"
"117"	"GO:0000470"	"metabolic process"	"+"
"118"	"GO:0000472"	"gene regulation"	"0.965004359365319"
"119"	"GO:0000479"	"gene regulation"	"0.843298404480567"
"120"	"GO:0000480"	"gene regulation"	"0.897088324582638"
"121"	"GO:0000481"	"metabolic process"	"0.624670570867161"
"122"	"GO:0000491"	"cellular component organization"	"+"
"123"	"GO:0000492"	"cellular component organization"	"0.948733699903875"
"124"	"GO:0000493"	"cellular component organization"	"0.972792290973005"
"125"	"GO:0000494"	"gene regulation"	"0.55251795775738"
"126"	"GO:0000495"	"metabolic process"	"0.559119849922274"
"127"	"GO:0000502"	"metabolic process"	"+"
"128"	"GO:0000512"	"gene regulation"	"0.844121038647103"
"129"	"GO:0000578"	"morphogenesis/development"	"0.907813750489757"
"130"	"GO:0000706"	"cell cycle"	"0.792926984666167"
"131"	"GO:0000707"	"cell cycle"	"0.943960401370453"
"132"	"GO:0000708"	"cell cycle"	"0.937429963417703"
"133"	"GO:0000709"	"cell cycle"	"0.873487244879864"
"134"	"GO:0000710"	"stress response"	"0.783302974088973"
"135"	"GO:0000711"	"cell cycle"	"0.851401480566652"
"136"	"GO:0000712"	"cell cycle"	"0.979240029791166"
"137"	"GO:0000715"	"cellular component organization"	"0.437808820125699"
"138"	"GO:0000717"	"cell cycle"	"0.623224358034791"
"139"	"GO:0000720"	"stress response"	"0.873039851733866"
"140"	"GO:0000722"	"cell cycle"	"+"
"141"	"GO:0000723"	"cell cycle"	"+"
"142"	"GO:0000724"	"stress response"	"+"
"143"	"GO:0000725"	"stress response"	"+"
"144"	"GO:0000727"	"stress response"	"+"
"145"	"GO:0000729"	"stress response"	"+"
"146"	"GO:0000730"	"cell cycle"	"0.792218857247106"
"147"	"GO:0000731"	"stress response"	"0.736388592315376"
"148"	"GO:0000732"	"stress response"	"0.599845442369435"
"149"	"GO:0000741"	"cellular component organization"	"0.818728996453468"
"150"	"GO:0000768"	"morphogenesis/development"	"+"
"151"	"GO:0000774"	"other"	"+"
"152"	"GO:0000819"	"cell cycle"	"+"
"153"	"GO:0000820"	"metabolic process"	"0.876120224371888"
"154"	"GO:0000821"	"metabolic process"	"0.914142461342629"
"155"	"GO:0000902"	"morphogenesis/development"	"+"
"156"	"GO:0000910"	"cell cycle"	"0.890694296556779"
"157"	"GO:0000912"	"cellular component organization"	"0.710130233734402"
"158"	"GO:0000915"	"cellular component organization"	"0.510842188998884"
"159"	"GO:0000916"	"cell cycle"	"0.39816910533106"
"160"	"GO:0000917"	"cellular component organization"	"0.496644943783185"
"161"	"GO:0000921"	"cellular component organization"	"0.929277521522367"
"162"	"GO:0000932"	"other"	"+"
"163"	"GO:0000956"	"gene regulation"	"+"
"164"	"GO:0000957"	"metabolic process"	"0.784812915133261"
"165"	"GO:0000958"	"gene regulation"	"0.6600812835702"
"166"	"GO:0000959"	"metabolic process"	"+"
"167"	"GO:0000960"	"metabolic process"	"0.64995293057657"
"168"	"GO:0000961"	"metabolic process"	"0.496813569098758"
"169"	"GO:0000962"	"metabolic process"	"0.831416775636877"
"170"	"GO:0000963"	"gene regulation"	"0.968687094612053"
"171"	"GO:0000964"	"gene regulation"	"0.924483163860431"
"172"	"GO:0000965"	"gene regulation"	"0.87313680952858"
"173"	"GO:0000966"	"gene regulation"	"+"
"174"	"GO:0000967"	"gene regulation"	"0.729320503515742"
"175"	"GO:0000968"	"gene regulation"	"0.678615971858353"
"176"	"GO:0000972"	"gene regulation"	"0.592979079243196"
"177"	"GO:0000973"	"gene regulation"	"0.673185682822715"
"178"	"GO:0000979"	"gene regulation"	"+"
"179"	"GO:0001046"	"gene regulation"	"+"
"180"	"GO:0001079"	"gene regulation"	"0.63346145600195"
"181"	"GO:0001080"	"gene regulation"	"0.649310946579848"
"182"	"GO:0001099"	"gene regulation"	"+"
"183"	"GO:0001100"	"cell cycle"	"0.912815322897564"
"184"	"GO:0001101"	"response to stimulus"	"+"
"185"	"GO:0001109"	"gene regulation"	"0.913811451784634"
"186"	"GO:0001111"	"gene regulation"	"0.906929136232806"
"187"	"GO:0001112"	"gene regulation"	"0.749958722708993"
"188"	"GO:0001113"	"gene regulation"	"0.845704755857935"
"189"	"GO:0001120"	"cellular component organization"	"0.603235792245102"
"190"	"GO:0001172"	"gene regulation"	"0.847786480410797"
"191"	"GO:0001173"	"gene regulation"	"0.947535162669338"
"192"	"GO:0001174"	"gene regulation"	"0.936692442859771"
"193"	"GO:0001178"	"gene regulation"	"0.944885816085138"
"194"	"GO:0001188"	"gene regulation"	"0.880646620893926"
"195"	"GO:0001192"	"gene regulation"	"0.334946449931013"
"196"	"GO:0001193"	"gene regulation"	"0.416794000021829"
"197"	"GO:0001216"	"gene regulation"	"+"
"198"	"GO:0001217"	"gene regulation"	"+"
"199"	"GO:0001221"	"gene regulation"	"+"
"200"	"GO:0001223"	"gene regulation"	"+"
"201"	"GO:0001227"	"gene regulation"	"+"
"202"	"GO:0001228"	"gene regulation"	"+"
"203"	"GO:0001325"	"cell cycle"	"0.465998538939274"
"204"	"GO:0001408"	"transport"	"0.957499425756068"
"205"	"GO:0001501"	"morphogenesis/development"	"+"
"206"	"GO:0001502"	"morphogenesis/development"	"0.858975345701447"
"207"	"GO:0001503"	"morphogenesis/development"	"+"
"208"	"GO:0001504"	"neural related process"	"+"
"209"	"GO:0001507"	"neural related process"	"0.640166958706626"
"210"	"GO:0001508"	"neural related process"	"+"
"211"	"GO:0001510"	"gene regulation"	"0.417436870676218"
"212"	"GO:0001514"	"gene regulation"	"0.559794357278868"
"213"	"GO:0001516"	"metabolic process"	"0.861469632418617"
"214"	"GO:0001519"	"metabolic process"	"0.724550803926492"
"215"	"GO:0001522"	"metabolic process"	"+"
"216"	"GO:0001523"	"metabolic process"	"0.927383938127695"
"217"	"GO:0001525"	"morphogenesis/development"	"+"
"218"	"GO:0001533"	"morphogenesis/development"	"+"
"219"	"GO:0001539"	"other"	"+"
"220"	"GO:0001541"	"morphogenesis/development"	"0.946094478838805"
"221"	"GO:0001542"	"multicellular organismal process"	"0.843909011458274"
"222"	"GO:0001543"	"multicellular organismal process"	"0.456990805131102"
"223"	"GO:0001544"	"cell cycle"	"0.417808518776202"
"224"	"GO:0001545"	"multicellular organismal process"	"0.47560856681342"
"225"	"GO:0001546"	"morphogenesis/development"	"0.463574141066857"
"226"	"GO:0001547"	"morphogenesis/development"	"0.532301114460652"
"227"	"GO:0001549"	"morphogenesis/development"	"0.892558657550213"
"228"	"GO:0001550"	"multicellular organismal process"	"0.463681427537373"
"229"	"GO:0001552"	"morphogenesis/development"	"0.896993818056065"
"230"	"GO:0001553"	"morphogenesis/development"	"0.600238729183556"
"231"	"GO:0001554"	"morphogenesis/development"	"0.584573449575972"
"232"	"GO:0001555"	"morphogenesis/development"	"0.715367404916307"
"233"	"GO:0001556"	"morphogenesis/development"	"+"
"234"	"GO:0001558"	"cellular component organization"	"+"
"235"	"GO:0001560"	"cellular component organization"	"0.233484431495965"
"236"	"GO:0001561"	"metabolic process"	"0.820322565394056"
"237"	"GO:0001562"	"response to stimulus"	"+"
"238"	"GO:0001568"	"morphogenesis/development"	"+"
"239"	"GO:0001569"	"morphogenesis/development"	"+"
"240"	"GO:0001570"	"morphogenesis/development"	"+"
"241"	"GO:0001572"	"metabolic process"	"0.987752014395902"
"242"	"GO:0001573"	"metabolic process"	"0.963830392185259"
"243"	"GO:0001574"	"metabolic process"	"0.964878253218784"
"244"	"GO:0001575"	"metabolic process"	"0.925377700689694"
"245"	"GO:0001576"	"metabolic process"	"0.902860870874342"
"246"	"GO:0001578"	"cellular component organization"	"0.95497312323954"
"247"	"GO:0001579"	"transport"	"0.931583083968578"
"248"	"GO:0001580"	"neural related process"	"0.489868284523211"
"249"	"GO:0001581"	"neural related process"	"0.407559752404679"
"250"	"GO:0001582"	"neural related process"	"0.49379037309055"
"251"	"GO:0001618"	"viral related process"	"+"
"252"	"GO:0001649"	"morphogenesis/development"	"+"
"253"	"GO:0001650"	"cellular component organization"	"+"
"254"	"GO:0001654"	"morphogenesis/development"	"+"
"255"	"GO:0001655"	"morphogenesis/development"	"+"
"256"	"GO:0001656"	"morphogenesis/development"	"+"
"257"	"GO:0001657"	"morphogenesis/development"	"+"
"258"	"GO:0001658"	"morphogenesis/development"	"0.963018340211039"
"259"	"GO:0001659"	"response to stimulus"	"+"
"260"	"GO:0001660"	"stress response"	"0.338272367500763"
"261"	"GO:0001661"	"neural related process"	"0.546287912907295"
"262"	"GO:0001662"	"neural related process"	"0.658931342153526"
"263"	"GO:0001664"	"receptor related process"	"+"
"264"	"GO:0001666"	"stress response"	"+"
"265"	"GO:0001667"	"other"	"+"
"266"	"GO:0001675"	"morphogenesis/development"	"0.723119992675303"
"267"	"GO:0001676"	"metabolic process"	"+"
"268"	"GO:0001678"	"metabolic process"	"0.578205328217199"
"269"	"GO:0001680"	"gene regulation"	"0.701118467785685"
"270"	"GO:0001682"	"gene regulation"	"+"
